"Invalid request","Invalid request"
"No order for processing found","No order for processing found"
"Order canceled. %1.","Order canceled. %1."
"Failed to complete the payment. Please try again or contact the customer service.","Failed to complete the payment. Please try again or contact the customer service."
"Authorization has been completed","Authorization has been completed"
"Something went wrong with Avarda payments. Please try again later.","Something went wrong with Avarda payments. Please try again later."
"Gift Card","Gift Card"
Terms,Terms
"Social Security Number","Social Security Number"
"For personal customers only","For personal customers only"
"Place Order","Place Order"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Avarda API Configuration","Avarda API Configuration"
"Enable Avarda Integration","Enable Avarda Integration"
"Test Mode (Stage)","Test Mode (Stage)"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Avarda Invoice","Avarda Invoice"
"Enable Avarda Invoice","Enable Avarda Invoice"
Title,Title
"Upload Image","Upload Image"
Instructions,Instructions
"Terms Text","Terms Text"
"Terms Link","Terms Link"
"New Order Status","New Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Create Invoice on Place Order","Create Invoice on Place Order"
"Avarda Direct Invoice","Avarda Direct Invoice"
"Enable Avarda Direct Invoice","Enable Avarda Direct Invoice"
"Avarda Loan","Avarda Loan"
"Enable Avarda Loan","Enable Avarda Loan"
"Avarda PartPayment","Avarda PartPayment"
"Enable Avarda PartPayment","Enable Avarda PartPayment"
