"Invalid request","Virheellinen kysely"
"No order for processing found","No order for processing found"
"Order canceled. %1.","Tilaus peruttu. %1."
"Authorization has been completed","Authorization has been completed"
"Something went wrong with Avarda payments. Please try again later.","Jotain meni vikaan. Ole hyvä ja yritä uudestaan."
"Gift Card","Lahjakortti"
Terms,Ehdot
"Social Security Number","Henkilötunnus"
"For personal customers only","Vain henkilöasiakkaille"
"Avarda API Configuration","Avarda API Asetukset"
"Enable Avarda Integration","Aktivoi Avarda Integraatio"
"Test Mode (Stage)","Testi tila (Stage)"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Avarda Invoice","Avarda Lasku"
"Enable Avarda Invoice","Aktivoi Avarda Lasku"
Title,Nimi
"Upload Image","Lisää kuva"
Instructions,"Kuvaus teksti"
"Terms Text","Ehto teksti"
"Terms Link","Linkki ehtoihin"
"New Order Status","Uuden tilauksen status"
"Create Invoice on Place Order","Lisää lasku kun tilaus luodaan"
"Avarda Direct Invoice","Avarda Direct Invoice"
"Enable Avarda Direct Invoice","Enable Avarda Direct Invoice"
"Avarda Loan","Avarda Loan"
"Enable Avarda Loan","Enable Avarda Loan"
"Avarda PartPayment","Avarda PartPayment"
"Enable Avarda PartPayment","Enable Avarda PartPayment"
"Phone is not a valid phone number.","Puhelinnumero on virheellinen."
"Identification Number is invalid.","Henkilötunnus on virheellinen."
